16,-53.994,-23.209,-0.064,
17,-58.275,-24.041,0.023,
18,-61.037,-24.891,0.011,
19,-65.555,-26.374,-0.015,
20,-68.917,-27.616,0.056,
21,-72.862,-28.959,-0.019,
22,-75.801,-29.951,0.073,
23,-80.303,-31.633,0.045,
24,-82.933,-32.849,0.012,
25,-85.884,-34.662,0.017,
26,-86.422,-35.024,-0.078,
27,-86.414,-35.151,-0.055,
28,-86.445,-35.144,-0.060,
29,-86.993,-35.380,-0.047,
30,-87.085,-35.246,-0.071,
31,-87.108,-35.224,-0.069,
32,-87.075,-35.174,-0.068,
33,-87.070,-35.173,-0.075,
34,-87.089,-35.240,-0.077,
35,-87.093,-35.233,-0.066,
36,-87.478,-35.321,-0.048,
37,-87.447,-35.334,-0.079,
38,-87.424,-35.237,-0.076,
39,-87.791,-35.627,0.048,
40,-89.593,-38.742,0.119,
41,-91.262,-43.161,0.189,
42,-91.400,-46.540,0.180,
43,-91.014,-51.172,0.217,
44,-90.654,-54.626,0.141,
45,-89.924,-59.127,0.181,
46,-89.629,-62.064,0.155,
47,-89.555,-64.817,0.180,
48,-89.151,-65.672,0.156,
49,-86.385,-68.778,0.176,
50,-76.679,-85.680,0.060,
51,-75.064,-87.566,-0.004,
52,-74.170,-89.398,-0.192,
53,-74.063,-89.591,-0.188,
54,-74.119,-89.593,-0.183,
55,-74.093,-89.601,-0.183,
56,-72.191,-89.765,-0.136,
57,-68.806,-89.428,-0.119,
58,-63.767,-89.065,-0.203,
59,-60.334,-88.202,-0.134,
60,-55.382,-86.522,-0.183,
61,-51.956,-85.318,-0.167,
62,-47.036,-83.613,-0.178,
63,-43.738,-82.442,-0.217,
64,-39.077,-80.739,-0.171,
65,-35.969,-79.549,-0.174,
66,-33.220,-78.292,-0.241,
67,-33.076,-78.248,-0.236,
68,-32.532,-78.124,-0.144,
69,-29.019,-76.888,-0.148,
70,-24.313,-74.825,-0.189,
71,-20.220,-73.119,-0.199,
72,-15.001,-71.132,-0.217,
73,-11.476,-69.722,-0.248,
74,-6.722,-67.890,-0.230,
75,-3.167,-66.386,-0.233,
76,1.300,-64.566,-0.137,
77,4.907,-63.285,-0.146,
78,9.455,-61.538,-0.145,
79,12.958,-60.064,-0.132,
80,17.573,-58.202,-0.182,
81,21.191,-56.716,-0.166,
82,25.976,-55.016,-0.188,
83,29.714,-53.633,-0.184,
